content_hash_id,status,action,clicks_delta_pct,position_delta,ctr_b,search_volume,main_intent
content_39c999d444484338,declining,rewrite,-1.0,-8.399999999999999,0.0,20,informational
content_e30b53ceb287d9bf,declining,rewrite,-1.0,-2.620109317765566,0.0,10,commercial
content_f725382741b3460d,declining,rewrite,-1.0,-2.154871794871795,0.0,110,informational
content_1f45a5be322a3492,volatile,review,-1.0,0.0,0.0,0,informational
content_0460333152a0c429,declining,rewrite,-1.0,-36.75874125874126,0.0,70,informational
content_1339ce1653f96e48,declining,rewrite,-1.0,-9.344129563247211,0.0,170,informational
content_98777940e08b9088,volatile,review,-1.0,17.152014046359284,0.0,70,commercial
content_824dff8bfeae0de4,volatile,review,-1.0,3.4517241379310324,0.0,40,informational
content_59ba06ed48fc7477,declining,rewrite,-1.0,-3.6845130066545693,0.0,50,informational
content_7a05035512af9553,volatile,review,-1.0,12.136363636363637,0.0,0,informational
content_9acb4a5d72c6f37d,volatile,review,-1.0,0.0,0.0,20,informational
content_9ae833c32cd9bc8b,declining,rewrite,-1.0,-16.0,0.0,0,informational
content_d20088075ba255c0,declining,rewrite,-1.0,-8.770012507817382,0.0,10,informational
content_cff1172cdeffe333,volatile,review,-1.0,0.0,0.0,10,informational
content_9d73f576f8ff604c,declining,rewrite,-1.0,-49.333333333333336,0.0,30,informational
content_9966c45e49fca4f8,volatile,review,-1.0,1.219427244582043,0.0,0,informational
content_9227359e44ebb505,volatile,review,-1.0,0.0,0.0,30,informational
content_2419fb839e35254c,declining,rewrite,-1.0,-51.630498866213145,0.0,10,commercial
content_a5b05dd7b6dec850,declining,rewrite,-1.0,-0.1508515581694283,0.0,140,commercial
content_91dc81959bcaf714,volatile,review,-1.0,57.61666666666667,0.0,110,informational
content_4bfdf6aebbcf04f1,declining,rewrite,-1.0,-42.22936397766463,0.0,1900,informational
content_f0a97d17eeafa55e,declining,rewrite,-1.0,-3.4757176629517064,0.0,0,0
content_373b97195614513c,volatile,review,-1.0,24.648093320520672,0.0,20,transactional
content_8092fbf9264bf554,volatile,review,-1.0,3.505417479879302,0.0,30,transactional
content_53c3e5fd7e15e335,volatile,review,-1.0,3.7305801521710613,0.0,50,transactional
content_f89fb73e82e3a7b9,declining,rewrite,-1.0,-2.029858015119209,0.0,50,informational
content_38547108cce1c005,declining,rewrite,-1.0,-54.33528025793651,0.0,10,commercial
content_1048c5702703d1de,volatile,review,-1.0,1.822797619047618,0.0,10,informational
content_e3ab34be964e870f,declining,rewrite,-1.0,-26.928434065934066,0.0,0,informational
content_2ab41e1d2f2de4fa,declining,rewrite,-1.0,-47.5452964519141,0.0,10,informational
content_f7c957de9a72684c,volatile,review,-1.0,0.6969461697722572,0.0,10,informational
content_f21e864029d35800,declining,rewrite,-1.0,-5.75043859649123,0.0,0,informational
content_78ff53113c1840be,declining,rewrite,-1.0,-25.24563923395445,0.0,110,informational
content_e8fbe00ef0a8bbc0,declining,rewrite,-1.0,-7.659722222222223,0.0,0,informational
content_c84524660018fdd9,declining,rewrite,-1.0,-1.5669642857142865,0.0,20,commercial
content_025876b58d15e8ea,volatile,review,-1.0,1.009090909090908,0.0,20,commercial
content_0bc1e1fa2a4584b7,declining,rewrite,-1.0,-23.433531135531137,0.0,90,informational
content_57044f8317cce654,volatile,review,-1.0,0.815636152465423,0.0,20,informational
content_9c6c7931d615282a,volatile,review,-1.0,62.151515151515156,0.0,140,informational
content_02ab34ee2647e643,declining,rewrite,-1.0,-0.8360214723297892,0.0,0,informational
content_b04d65416506bdf4,volatile,review,-1.0,8.083333333333332,0.0,10,informational
content_969c205a210a824f,declining,rewrite,-1.0,-25.349978771496477,0.0,0,informational
content_6aa73144b43f2f89,volatile,review,-1.0,7.282239057239053,0.0,10,commercial
content_1a242af411aae808,volatile,review,-1.0,13.523809523809526,0.0,0,informational
content_623f7da1832b8d2d,declining,rewrite,-1.0,-1.1554261830123895,0.0,0,informational
content_793d720ebad578bf,declining,rewrite,-1.0,-11.576019086052344,0.0,0,0
content_ad0c6634da87ac05,volatile,review,-1.0,3.3547619047619053,0.0,0,0
content_30319e9a915e3598,volatile,review,-1.0,2.211419095001176,0.0,210,informational
content_2c98d59ded41d8ef,declining,rewrite,-1.0,-18.456179671987883,0.0,10,informational
content_b4c57f918f21b639,declining,rewrite,-1.0,-8.067744206194499,0.0,50,transactional
content_fedbe1eb1aacaa2c,volatile,review,-1.0,0.0,0.0,4400,informational
content_8ff6db461b0789dd,declining,rewrite,-1.0,-5.8825995373321875,0.0,50,transactional
content_d65cc1114c78785d,volatile,review,-1.0,1.8979166666666742,0.0,20,transactional
content_885125cca93b5169,declining,rewrite,-1.0,-16.53817916777101,0.0,0,informational
content_878bbb1ebfeffab1,volatile,review,-1.0,1.9000000000000004,0.0,0,0
content_9663b6c6f0ca499c,volatile,review,-1.0,0.2692307692307683,0.0,0,informational
content_4e3c10d9b898d555,declining,rewrite,-1.0,-0.858225108225108,0.0,0,0
content_d659d89dce018134,declining,rewrite,-1.0,-3.114583333333333,0.0,0,0
content_f5c7261dceb89990,declining,rewrite,-1.0,-3.6089706589706694,0.0,0,0
content_39f3c03bd6eaa709,declining,rewrite,-1.0,-12.835227272727273,0.0,0,informational
content_e05da62ec6a7d25f,declining,rewrite,-1.0,-1.1505050505050498,0.0,0,0
content_3c8cdc5cba6283b6,declining,rewrite,-1.0,-7.238095238095239,0.0,0,0
content_74df129a03d032d6,volatile,review,-1.0,0.0,0.0,0,0
content_c515063ed4c2b3ed,volatile,review,-1.0,0.3818864468864476,0.0,50,informational
content_83a3408a6357a89d,volatile,review,-1.0,1.2324334848420495,0.0,70,informational
content_fe0756d5bcd43f37,declining,rewrite,-1.0,-0.4061403508771928,0.0,0,informational
content_04aabeda1910b0f0,volatile,review,-1.0,2.9348724587709096,0.0,0,0
content_8bc7edfb7e887e55,declining,rewrite,-1.0,-1.6737594273778136,0.0,0,0
content_6fbab67e14d370c0,declining,rewrite,-1.0,-1.0447491812999825,0.0,0,0
content_2f06d7cfeb0f8d02,volatile,review,-1.0,8.245037420692217,0.0,1300,transactional
content_e85f168131d973af,volatile,review,-1.0,3.750521190055105,0.0,210,informational
content_6fa64ec58ba3f230,volatile,review,-1.0,10.626700018453782,0.0,480,informational
content_6a6b837edc9abc79,volatile,review,-1.0,5.475983204401373,0.0,9900,informational
content_7b1dff9bdc069147,volatile,review,-1.0,4.778131371697754,0.0,6600,informational
content_73b1a99963091604,volatile,review,-1.0,17.925738399695184,0.0,2900,informational
content_d9ba8fbfdd365258,volatile,review,-1.0,2.9714313464313484,0.0,10,commercial
content_ff247c0d7f82b407,declining,rewrite,-1.0,-0.7696227033292304,0.0,0,0
content_1b3e7dfd03e2d7ad,declining,rewrite,-1.0,-3.5297826908541188,0.0,0,0
content_b1a359e9a7341c7d,volatile,review,-1.0,0.0,0.0,0,0
content_07b69b731a18be60,volatile,review,-1.0,10.67859708952074,0.0,20,informational
content_a0b76a92e82c97e0,declining,rewrite,-1.0,-0.02154723380181167,0.0,10,informational
content_0c4ea0d0a3ff4d12,volatile,review,-1.0,24.20979280396574,0.0,30,commercial
content_d85c3fbac36dafbe,volatile,review,-1.0,33.59712058691617,0.0,10,transactional
content_644aa9c0c1a60dd7,declining,rewrite,-1.0,-1.0013452379993737,0.0,10,commercial
content_a89013219e93bf19,declining,rewrite,-1.0,-0.24318753142282823,0.0,0,0
content_0574f0c0d6103b2f,volatile,review,-1.0,1.3726220748948021,0.0,0,0
content_812977461e6ff115,declining,rewrite,-1.0,-35.468785290796156,0.0,0,0
content_f7c88a2729856a49,declining,rewrite,-1.0,-0.07728927496201976,0.0,0,0
content_8a30c12d0c0b2e50,volatile,review,-1.0,3.076833160800552,0.0,0,0
